ZIP,state_name,lat_avg,lng_avg,count_qualified,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,number_of_panels_total,kw_total,yearly_sunlight_kwh_total,carbon_offset_metric_tons,existing_installs_count
21734,Maryland,39.6082313,-77.70711624,81,79.41176471,178,1174,481,284,303,2420,605,717247.6371,593.7762964,0
21740,Maryland,39.63403085,-77.73151619,16137,84.67754631,46141,197742,191055,171612,833449,1439999,359999.75,4.29E+08,355500.605,10
21742,Maryland,39.66036697,-77.69379233,6529,84.55063455,23157,107877,113386,104580,261489,610489,152622.25,1.80E+08,149179.9598,4
21746,Maryland,39.56170674,-77.71584385,26,92.85714286,156,562,299,297,15689,17003,4250.75,5198901.562,4303.931243,0
21767,Maryland,39.6970103,-77.74540829,410,86.86440678,1101,4257,7974,8563,1035,22930,5732.5,6561997.932,5432.37597,0
21795,Maryland,39.60018151,-77.80521133,2080,88.92689183,7860,38937,29666,29414,203710,309587,77396.75,9.28E+07,76855.33961,2
21801,Maryland,38.36990816,-75.62552818,7582,66.89016321,19117,134061,77012,87306,357863,675359,168839.75,2.10E+08,133228.1473,9
21804,Maryland,38.35573407,-75.56711398,8005,65.25105967,23543,149236,107516,99905,304464,684664,171166,2.12E+08,134728.7176,4
21810,Maryland,38.29078689,-75.68782118,12,66.66666667,53,221,228,210,0,712,178,213571.3142,135.7161622,0
21822,Maryland,38.29893586,-75.6594748,321,67.29559748,3219,6953,5550,5551,2424,23697,5924.25,7186174.182,4566.530784,0
21826,Maryland,38.32220629,-75.62133708,1329,62.95594505,3314,17318,8941,16781,46910,93264,23316,2.91E+07,18462.43736,1
21830,Maryland,38.40991764,-75.68442728,1135,68.78787879,2736,22706,10860,12909,13042,62253,15563.25,1.92E+07,12211.00127,4
21837,Maryland,38.47005389,-75.74396362,1,100,0,68,0,0,0,68,17,23391.49573,14.86437465,0
21849,Maryland,38.39198046,-75.49063361,11,64.70588235,0,189,299,304,0,792,198,239479.8014,152.1799859,0
21856,Maryland,38.36325144,-75.74467009,5,38.46153846,54,112,0,24,12,202,50.5,60887.48907,38.69160226,0
