2. TRIFD,3. FRS ID,30. CHEMICAL,33. CLEAN AIR ACT CHEMICAL,37. CARCINOGEN,40. 5.1 - FUGITIVE AIR,42. 5.3 - WATER,54. ON-SITE RELEASE TOTAL
43913CRDNL306CO,110000605426,AMMONIA,NO,NO,250,12301,15961
37763STVKNSWANP,110000372631,NAPHTHALENE,YES,YES,0,0,11
15931CMBRC243RU,110000330641,ZINC COMPOUNDS,NO,NO,1.45,0,65.76
23224BLLMD1860C,110002404390,"1,2,4-TRIMETHYLBENZENE",NO,NO,0,0,0
15931CMBRC243RU,110000330641,BARIUM COMPOUNDS,NO,NO,8.38,0,379.02
42086STVSH7900M,110000493305,NAPHTHALENE,YES,YES,0,0,21
84528PCFCR10MIL,110020101922,MANGANESE COMPOUNDS,YES,NO,71,0,90502
15748MHMRC1750P,110000330339,ZINC COMPOUNDS,NO,NO,12,236,3445
63028RSHSL100BI,110000440210,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",NO,NO,0,0,27882
87421SNJNGCOUNT,110000600868,ZINC COMPOUNDS,NO,NO,10,0,3624
45620MRCNL7397N,110043788327,THALLIUM  and THALLIUM COMPOUNDS,NO,NO,10,0,7070
26134PLSNTNO1PO,110038775536,MERCURY COMPOUNDS,YES,NO,0,0.39,950.09
14012SSMRS7725L,110000326371,VANADIUM COMPOUNDS,NO,NO,0,40.87,4861.87
45620MRCNL7397N,110043788327,ARSENIC  and ARSENIC COMPOUNDS,YES,NO,23,135.9,117079.9
23323CMMNW2837S,110001890053,"1,2,4-TRIMETHYLBENZENE",NO,NO,0,0,0
82716NLSMP13151,110000600341,COPPER,NO,NO,15,0.281,82488.281
82716NLSMP13151,110000600341,MANGANESE,YES,NO,16,0.562,101911.562
29440WNYHG661ST,110000353457,AMMONIA,NO,NO,130,25,155
29440WNYHG661ST,110000353457,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,170,51,3876
15927CLVRP141IN,110001147786,NICKEL COMPOUNDS,YES,YES,0,0,21
00656DCRBNBOMAG,110009309596,LEAD  and LEAD COMPOUNDS,YES,NO,0,0,22.74
26134PLSNTNO1PO,110038775536,MANGANESE COMPOUNDS,YES,NO,1,66,83117
78263WSMMR9599G,110000464916,MERCURY COMPOUNDS,YES,NO,140,0.038,327.838
62540KNCDG4MILE,110000602125,HYDROGEN FLUORIDE,YES,NO,0,0,48440.4
62540KNCDG4MILE,110000602125,VANADIUM COMPOUNDS,NO,NO,0,0,76.062
32514GLFPW11999,110002526847,NICKEL COMPOUNDS,YES,YES,0,22,29352
32514GLFPW11999,110002526847,ZINC COMPOUNDS,NO,NO,0,110,38250
27573MYLCT10660,110057382666,VANADIUM COMPOUNDS,NO,NO,2,18,47067
7759WBLNCH2415T,110028042188,HYDROGEN SULFIDE,YES,NO,0,0,1600
62540KNCDG4MILE,110000602125,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,NO,0,17.111,91.327
62644HVNPWSTRTE,110000595794,AMMONIA,NO,NO,7218.55,90.6,17104.93
